YEAR,DATE,TOPIC,NAME,MOE,SUBPOP,SUBPOPID,CHOICE,PARTY,VALUE,OBS,STATE
2012,2012-10-14,2012-president,2012 Washington DC President: Romney vs. Obama,2.8,Likely Voters,1,Romney,Rep,8.0,1222,DC
2012,2012-10-14,2012-president,2012 Washington DC President: Romney vs. Obama,2.8,Likely Voters,1,Obama,Dem,88.0,1222,DC
2012,2012-10-10,2012-president,2012 Idaho President: Romney vs. Obama,4.0,Likely Voters,1,Romney,Rep,63.0,625,ID
2012,2012-10-10,2012-president,2012 Idaho President: Romney vs. Obama,4.0,Likely Voters,1,Obama,Dem,27.0,625,ID
2012,2012-10-10,2012-president,2012 Idaho President: Romney vs. Obama,4.0,Likely Voters,1,Undecided,,6.0,625,ID
2012,2012-10-10,2012-president,2012 Idaho President: Romney vs. Obama,4.0,Likely Voters,1,Other,,1.0,625,ID
2012,2012-10-10,2012-president,2012 Idaho President: Romney vs. Obama,4.0,Likely Voters,1,Johnson,,3.0,625,ID
2012,2012-10-27,2012-president,2012 Rhode Island President: Romney vs. Obama,4.0,Likely Voters,1,Undecided,,8.0,601,RI
2012,2012-10-27,2012-president,2012 Rhode Island President: Romney vs. Obama,4.0,Likely Voters,1,Obama,Dem,54.0,601,RI
2012,2012-10-27,2012-president,2012 Rhode Island President: Romney vs. Obama,4.0,Likely Voters,1,Romney,Rep,33.0,601,RI
2012,2012-10-05,2012-president,2012 Rhode Island President: Romney vs. Obama,4.5,Likely Voters,1,Obama,Dem,58.0,471,RI
2012,2012-10-05,2012-president,2012 Rhode Island President: Romney vs. Obama,4.5,Likely Voters,1,Romney,Rep,32.0,471,RI
2012,2012-10-05,2012-president,2012 Rhode Island President: Romney vs. Obama,4.5,Likely Voters,1,Undecided,,10.0,471,RI
2012,2012-10-05,2012-senate,2012 Rhode Island Senate: Hinckley vs. Whitehouse,4.5,Likely Voters,1,Undecided,,12.0,471,RI
2012,2012-10-05,2012-senate,2012 Rhode Island Senate: Hinckley vs. Whitehouse,4.5,Likely Voters,1,Whitehouse,Dem,59.0,471,RI
2012,2012-10-05,2012-senate,2012 Rhode Island Senate: Hinckley vs. Whitehouse,4.5,Likely Voters,1,Hinckley,Rep,30.0,471,RI
2012,2012-10-05,obama-job-approval,Rhode Island: Obama Job Approval,4.4,Registered Voters,1,Approve,,54.0,496,RI
2012,2012-10-05,obama-job-approval,Rhode Island: Obama Job Approval,4.4,Registered Voters,1,Disapprove,,46.0,496,RI
2012,2012-09-29,2012-president,2012 Rhode Island President: Romney vs. Obama,4.38,Likely Voters,1,Romney,Rep,33.0,501,RI
2012,2012-09-29,2012-president,2012 Rhode Island President: Romney vs. Obama,4.38,Likely Voters,1,Undecided,,7.0,501,RI
2012,2012-09-29,2012-president,2012 Rhode Island President: Romney vs. Obama,4.38,Likely Voters,1,Obama,Dem,57.0,501,RI
2012,2011-02-22,2012-president,2012 Rhode Island President: Romney vs. Obama,4.2,Likely Voters,1,Undecided,,10.0,544,RI
2012,2011-02-22,2012-president,2012 Rhode Island President: Romney vs. Obama,4.2,Likely Voters,1,Obama,Dem,54.0,544,RI
2012,2011-02-22,2012-president,2012 Rhode Island President: Romney vs. Obama,4.2,Likely Voters,1,Romney,Rep,37.0,544,RI
2012,2011-02-22,obama-job-approval,Rhode Island: Obama Job Approval,4.2,Likely Voters,1,Approve,,53.0,544,RI
2012,2011-02-22,obama-job-approval,Rhode Island: Obama Job Approval,4.2,Likely Voters,1,Disapprove,,39.0,544,RI
2012,2011-02-22,obama-job-approval,Rhode Island: Obama Job Approval,4.2,Likely Voters,1,Undecided,,8.0,544,RI
2012,2012-09-13,2012-president,2012 Kentucky President: Romney vs. Obama,4.1,Likely Voters,1,Other,,3.0,606,KY
2012,2012-09-13,2012-president,2012 Kentucky President: Romney vs. Obama,4.1,Likely Voters,1,Romney,Rep,53.0,606,KY
2012,2012-09-13,2012-president,2012 Kentucky President: Romney vs. Obama,4.1,Likely Voters,1,Obama,Dem,39.0,606,KY
2012,2012-09-13,2012-president,2012 Kentucky President: Romney vs. Obama,4.1,Likely Voters,1,Undecided,,5.0,606,KY
2012,2011-08-28,2012-president,2012 Kentucky President: Romney vs. Obama,4.0,Likely Voters,1,Romney,Rep,48.0,600,KY
2012,2011-08-28,2012-president,2012 Kentucky President: Romney vs. Obama,4.0,Likely Voters,1,Undecided,,11.0,600,KY
2012,2011-08-28,2012-president,2012 Kentucky President: Romney vs. Obama,4.0,Likely Voters,1,Obama,Dem,40.0,600,KY
2012,2011-08-28,obama-job-approval,Kentucky: Obama Job Approval,4.0,Likely Voters,1,Approve,,39.0,600,KY
2012,2011-08-28,obama-job-approval,Kentucky: Obama Job Approval,4.0,Likely Voters,1,Disapprove,,56.0,600,KY
2012,2011-08-28,obama-job-approval,Kentucky: Obama Job Approval,4.0,Likely Voters,1,Undecided,,5.0,600,KY
2012,2011-03-27,2012-president,2012 Mississippi President: Romney vs. Obama,3.4,Likely Voters,1,Romney,Rep,46.0,817,MS
2012,2011-03-27,2012-president,2012 Mississippi President: Romney vs. Obama,3.4,Likely Voters,1,Undecided,,13.0,817,MS
2012,2011-03-27,2012-president,2012 Mississippi President: Romney vs. Obama,3.4,Likely Voters,1,Obama,Dem,40.0,817,MS
2012,2011-03-27,obama-job-approval,Mississippi: Obama Job Approval,3.4,Likely Voters,1,Approve,,42.0,817,MS
2012,2011-03-27,obama-job-approval,Mississippi: Obama Job Approval,3.4,Likely Voters,1,Disapprove,,54.0,817,MS
2012,2011-03-27,obama-job-approval,Mississippi: Obama Job Approval,3.4,Likely Voters,1,Undecided,,3.0,817,MS
2012,2011-11-06,2012-president,2012 Mississippi President: Romney vs. Obama,3.5,Likely Voters,1,Undecided,,10.0,796,MS
2012,2011-11-06,2012-president,2012 Mississippi President: Romney vs. Obama,3.5,Likely Voters,1,Obama,Dem,36.0,796,MS
2012,2011-11-06,2012-president,2012 Mississippi President: Romney vs. Obama,3.5,Likely Voters,1,Romney,Rep,54.0,796,MS
2012,2011-11-06,obama-job-approval,Mississippi: Obama Job Approval,3.5,Likely Voters,1,Approve,,36.0,796,MS
2012,2011-11-06,obama-job-approval,Mississippi: Obama Job Approval,3.5,Likely Voters,1,Disapprove,,59.0,796,MS
2012,2011-11-06,obama-job-approval,Mississippi: Obama Job Approval,3.5,Likely Voters,1,Undecided,,5.0,796,MS
2012,2012-10-04,2012-president,2012 Louisiana President: Romney vs. Obama,1.9,Likely Voters,1,Romney,Rep,59.0,2682,LA
2012,2012-10-04,2012-president,2012 Louisiana President: Romney vs. Obama,1.9,Likely Voters,1,Undecided,,5.0,2682,LA
2012,2012-10-04,2012-president,2012 Louisiana President: Romney vs. Obama,1.9,Likely Voters,1,Obama,Dem,36.0,2682,LA
2012,2012-10-04,,2015 Louisiana Governor Primary,1.9,Likely Voters,1,Vitter,Rep,31.0,2682,LA
2012,2012-10-04,,2015 Louisiana Governor Primary,1.9,Likely Voters,1,Dardenne,Rep,7.0,2682,LA
2012,2012-10-04,,2015 Louisiana Governor Primary,1.9,Likely Voters,1,Kennedy,Rep,7.0,2682,LA
2012,2012-10-04,,2015 Louisiana Governor Primary,1.9,Likely Voters,1,Landrieu,Dem,29.0,2682,LA
2012,2012-10-04,,2015 Louisiana Governor Primary,1.9,Likely Voters,1,Undecided/Someone else,,17.0,2682,LA
2012,2012-10-04,,2015 Louisiana Governor Primary,1.9,Likely Voters,1,Strain,Rep,3.0,2682,LA
2012,2012-10-04,,2015 Louisiana Governor Primary,1.9,Likely Voters,1,Georges,Dem,6.0,2682,LA
2012,2012-09-30,2012-president,2012 Louisiana President: Romney vs. Obama,4.9,Likely Voters,1,Undecided,,10.0,412,LA
2012,2012-09-30,2012-president,2012 Louisiana President: Romney vs. Obama,4.9,Likely Voters,1,Obama,Dem,37.0,412,LA
2012,2012-09-30,2012-president,2012 Louisiana President: Romney vs. Obama,4.9,Likely Voters,1,Romney,Rep,50.0,412,LA
2012,2012-09-20,2012-president,2012 Louisiana President: Romney vs. Obama,4.0,Likely Voters,1,Romney,Rep,45.0,600,LA
2012,2012-09-20,2012-president,2012 Louisiana President: Romney vs. Obama,4.0,Likely Voters,1,Undecided,,17.0,600,LA
2012,2012-09-20,2012-president,2012 Louisiana President: Romney vs. Obama,4.0,Likely Voters,1,Obama,Dem,39.0,600,LA
2012,2011-11-21,2012-president,2012 Kansas President: Romney vs. Obama,4.4,Registered Voters,1,Romney,Rep,48.0,510,KS
